Probability_of_Default,Internal_Score,Prediction,Actual_Status,Rating
0.08140502769755058,583.4862197416816,Not Default,Not Default,Good
0.21135039404508324,551.5563912316551,Not Default,Not Default,Good
0.1374304787580488,566.5602130031599,Not Default,Not Default,Good
0.28554046455566123,540.0245800381513,Not Default,Not Default,Fair
0.16815638185603612,559.6916141518516,Not Default,Not Default,Good
0.17726314801470225,557.8522066350081,Not Default,Not Default,Good
0.20266833075680765,553.082624179609,Not Default,Not Default,Good
0.6182795263052369,499.64658480230963,Default,Not Default,Fair
0.8569829266909312,461.89985656428115,Default,Not Default,Fair
0.6991156559109462,489.23499606255314,Default,Not Default,Fair
0.26203143870678614,543.4378268760363,Not Default,Not Default,Fair
0.2362991786829708,547.4092973099456,Not Default,Not Default,Fair
0.05892864279775778,593.5067016142726,Not Default,Not Default,Good
0.349366224925434,531.5035495834195,Not Default,Not Default,Fair
0.32109557689902074,535.1655519535093,Not Default,Not Default,Fair
0.43319637186941523,521.3179947617023,Not Default,Not Default,Fair
0.23075320558275422,548.3033548410513,Not Default,Not Default,Fair
0.04679730326332295,600.527152750084,Not Default,Not Default,Good
0.9176781361188808,443.98862443877886,Default,Not Default,Poor
0.08957344482328868,580.4694309603284,Not Default,Not Default,Good
0.32480519320375073,534.6760202669598,Not Default,Not Default,Fair
0.11163205436772755,573.4095579333793,Not Default,Not Default,Good
0.5668777150984108,505.7961750615593,Default,Not Default,Fair
0.35475833154481046,530.8214989300036,Not Default,Not Default,Fair
0.18435427877438826,556.4706730457239,Not Default,Not Default,Good
0.2657195437470511,542.8899752839412,Not Default,Not Default,Fair
0.7471468136876196,482.29960209094503,Default,Default,Fair
0.4078320795526435,524.3220596430916,Not Default,Not Default,Fair
0.41005051901531836,524.0572331878468,Not Default,Not Default,Fair
0.5938190950425762,502.6034167540114,Default,Not Default,Fair
0.13407836928153988,567.3846371773541,Not Default,Not Default,Good
0.3993041613858978,525.3443693470607,Not Default,Not Default,Fair
0.7483515084991613,482.1153155316147,Default,Not Default,Fair
0.48846439695027316,514.8930629868875,Not Default,Not Default,Fair
0.42241313299593325,522.5891030955482,Not Default,Default,Fair
0.37642824262091934,528.1250523603688,Not Default,Not Default,Fair
0.2409509117787902,546.6705166694293,Not Default,Not Default,Fair
0.5127424366732589,512.0904435713844,Default,Not Default,Fair
0.8124147917256243,471.2680293781185,Default,Default,Fair
0.8286980480875302,468.07533942922504,Default,Default,Fair
